trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,fixation.stopped,circle1.started,circle2.started,circle3.started,circle4.started,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
56,3,j,learn,2,77,77,0,h,0,1.9007907999912277,None,0,77,77,55,137.3880405999953,,,,,,,,,137.3740646999795,137.3880405999953,137.4714607000351,138.38812710007187,138.38812710007187,138.38812710007187,138.38812710007187,138.38812710007187,139.3885257000802,0,h,0,1.9007907999912277,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
76,3,j,learn,2,78,78,0,h,0,1.6285166000016034,None,0,78,78,75,139.40448540006764,,,,,,,,,139.39032550004777,139.40448540006764,139.50422220001929,140.40450910001528,140.38750280009117,140.38750280009117,140.38750280009117,140.38750280009117,141.13831810001284,0,h,0,1.6285166000016034,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
18,1,g,learn,1,79,79,0,f,0,1.7627899999497458,None,0,79,79,17,141.1540987000335,,,,,,,,,141.139981299988,141.1540987000335,141.23736010002904,142.15418090007734,142.15418090007734,142.15418090007734,142.15418090007734,142.15418090007734,143.0047232999932,0,f,0,1.7627899999497458,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
70,4,g,learn,2,80,0,1,j,0,2.5988566000014544,None,1,0,80,69,143.02061680005863,,,,,,,,,143.00720640004147,143.02061680005863,143.10385230008978,144.02062730002217,144.02062730002217,144.02062730002217,144.02062730002217,144.02062730002217,145.7039149000775,0,j,0,2.5988566000014544,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
42,2,g,learn,2,81,1,1,h,0,1.3386122999945655,None,1,1,81,41,145.72006610000972,,,,,,,,,145.70640170003753,145.72006610000972,145.8034754000837,146.7202400000533,146.7035676999949,146.7035676999949,146.7035676999949,146.7035676999949,147.15320410009008,0,h,0,1.3386122999945655,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
29,2,f,learn,1,82,2,1,g,0,2.3018101999768987,None,1,2,82,28,147.16935600002762,,,,,,,,,147.1540534000378,147.16935600002762,147.2525922000641,148.16990280000027,148.15325040009338,148.15325040009338,148.15325040009338,148.15325040009338,149.57032589998562,0,g,0,2.3018101999768987,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
69,3,f,learn,2,83,3,1,h,0,1.9169195999857038,None,1,3,83,68,149.5861375000095,,,,,,,,,149.5727929000277,149.5861375000095,149.68611000000965,150.58599669998512,150.56945589999668,150.56945589999668,150.56945589999668,150.56945589999668,151.61992650001775,0,h,0,1.9169195999857038,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
9,1,f,learn,1,84,4,1,g,0,1.8458761000074446,None,1,4,84,8,151.63583460007794,,,,,,,,,151.6224058000371,151.63583460007794,151.71880859998055,152.6356945000589,152.6190317000728,152.6190317000728,152.6190317000728,152.6190317000728,153.56960679998156,0,g,0,1.8458761000074446,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
33,3,f,learn,1,85,5,1,j,0,2.801948399981484,None,1,5,85,32,153.5854110000655,,,,,,,,,153.57211830001324,153.5854110000655,153.66885580006056,154.5855797000695,154.5689418000402,154.5689418000402,154.5689418000402,154.5689418000402,156.4856379000703,0,j,0,2.801948399981484,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
7,4,h,learn,1,86,6,1,j,0,1.9777155000483617,None,1,6,86,6,156.50156770006288,,,,,,,,,156.48807860002853,156.50156770006288,156.58498829999007,157.50180970004294,157.50180970004294,157.50180970004294,157.50180970004294,157.50180970004294,158.5689061000012,0,j,0,1.9777155000483617,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
59,4,h,learn,2,87,7,1,h,1,2.4313187999650836,None,1,7,87,58,158.58471640001517,,,,,,,,,158.57119980000425,158.58471640001517,158.66787140001543,159.58474140008911,159.58474140008911,159.58474140008911,159.58474140008911,159.58474140008911,161.10149050003383,1,h,1,2.4313187999650836,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
62,1,g,learn,2,88,8,1,f,0,2.1989149999571964,None,1,8,88,61,161.11735240009148,,,,,,,,,161.10382650000975,161.11735240009148,161.2171568000922,162.1177896000445,162.10112800006755,162.10112800006755,162.10112800006755,162.10112800006755,163.41787750006188,0,f,0,2.1989149999571964,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
40,1,j,learn,1,89,9,1,g,0,1.3875540000153705,None,1,9,89,39,163.43380009999964,,,,,,,,,163.42033150000498,163.43380009999964,163.51712370000314,164.43392089998815,164.41732200002298,164.41732200002298,164.41732200002298,164.41732200002298,164.91791200009175,0,g,0,1.3875540000153705,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
24,3,j,learn,1,90,10,1,h,0,1.8506506000412628,None,1,10,90,23,164.93358010007069,,,,,,,,,164.92036310001276,164.93358010007069,165.01709930005018,165.93345670006238,165.93345670006238,165.93345670006238,165.93345670006238,165.93345670006238,166.88429379998706,0,h,0,1.8506506000412628,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
63,4,h,learn,2,91,11,1,j,0,1.9073835000162944,None,1,11,91,62,166.89990920003038,,,,,,,,,166.8867532000877,166.89990920003038,166.9833577000536,167.90020190004725,167.90020190004725,167.90020190004725,167.90020190004725,167.90020190004725,168.90007580001839,0,j,0,1.9073835000162944,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
66,3,g,learn,2,92,12,1,h,0,1.3787076000589877,None,1,12,92,65,168.9163031000644,,,,,,,,,168.9023280000547,168.9163031000644,168.9996642000042,169.91635549999774,169.89990329998545,169.89990329998545,169.89990329998545,169.89990329998545,170.38370140001643,0,h,0,1.3787076000589877,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
16,4,j,learn,1,93,13,1,h,0,1.6812731999671087,None,1,13,93,15,170.3994670000393,,,,,,,,,170.38644440006465,170.3994670000393,170.48279690009076,171.39964050007984,171.39964050007984,171.39964050007984,171.39964050007984,171.39964050007984,172.16591830004472,0,h,0,1.6812731999671087,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
76,3,j,learn,2,94,14,1,h,0,2.2879602999892086,None,1,14,94,75,172.18244330002926,,,,,,,,,172.16665270004887,172.18244330002926,172.26593640004285,173.18259179999586,173.16591950005386,173.16591950005386,173.16591950005386,173.16591950005386,174.56579040002543,0,h,0,2.2879602999892086,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
73,4,f,learn,2,95,15,1,g,0,1.3514698999933898,None,1,15,95,72,174.5819024000084,,,,,,,,,174.56765159999486,174.5819024000084,174.66529190004803,175.58209510007873,175.56506569997873,175.56506569997873,175.56506569997873,175.56506569997873,176.03277410008013,0,g,0,1.3514698999933898,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
51,1,h,learn,2,96,16,1,f,0,1.4701185999438167,None,1,16,96,50,176.04857810004614,,,,,,,,,176.03508250007872,176.04857810004614,176.13196870009415,177.04873350006528,177.04873350006528,177.04873350006528,177.04873350006528,177.04873350006528,177.61525899998378,0,f,0,1.4701185999438167,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
2,2,g,learn,1,97,17,1,g,1,1.783230600063689,None,1,17,97,1,177.63158759998623,,,,,,,,,177.61643510009162,177.63158759998623,177.71491910004988,178.63167630007956,178.61479050002526,178.61479050002526,178.61479050002526,178.61479050002526,179.5154064000817,1,g,1,1.783230600063689,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
