trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,end_key.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
19,1,h,learn,1,52,52,0,f,0,1.4240431999787688,None,0,52,52,18,104.70856979995733,,,,,,,,,104.6930361999548,104.70856979995733,104.79194219998317,105.69176229997538,105.69176229997538,105.69176229997538,105.69176229997538,105.70837259996915,106.2256271999795,0,f,0,1.4240431999787688,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
13,1,f,learn,1,53,53,0,f,1,1.4402862000279129,None,0,53,53,12,106.2417222999502,,,,,,,,,106.22693449998042,106.2417222999502,106.32520999998087,107.22497799998382,107.22497799998382,107.22497799998382,107.22497799998382,107.24161659996025,107.77560709998943,1,f,1,1.4402862000279129,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
80,1,j,learn,2,54,54,0,f,0,1.3234992999932729,None,0,54,54,79,107.79165459994692,,,,,,,,,107.776880099962,107.79165459994692,107.87480150000192,108.79158569994615,108.79158569994615,108.79158569994615,108.79158569994615,108.79158569994615,109.20841979997931,0,f,0,1.3234992999932729,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
71,1,h,learn,2,55,55,0,f,0,1.3992736999643967,None,0,55,55,70,109.22473789996002,,,,,,,,,109.20973049994791,109.22473789996002,109.30784319998929,110.20778129994869,110.20778129994869,110.20778129994869,110.20778129994869,110.22452949994477,110.7080314999912,0,f,0,1.3992736999643967,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
30,2,g,learn,1,56,56,0,g,1,1.5540499999769963,None,0,56,56,29,110.72437359998003,,,,,,,,,110.7087558999774,110.72437359998003,110.80748369998764,111.70802069996716,111.70802069996716,111.70802069996716,111.70802069996716,111.72508289996767,112.3753758999519,1,g,1,1.5540499999769963,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
65,2,f,learn,2,57,57,0,g,0,1.6503254999988712,None,0,57,57,64,112.39115519996267,,,,,,,,,112.37714669998968,112.39115519996267,112.47472159995232,113.39121789997444,113.39121789997444,113.39121789997444,113.39121789997444,113.39121789997444,114.14171099994564,0,g,0,1.6503254999988712,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
39,3,h,learn,1,58,58,0,h,1,1.781309800047893,None,0,58,58,38,114.15755899995565,,,,,,,,,114.14334089995828,114.15755899995565,114.24092379998183,115.1409152999986,115.1409152999986,115.1409152999986,115.1409152999986,115.15722469997127,116.02460779994726,1,h,1,1.781309800047893,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
5,3,f,learn,1,59,59,0,h,0,1.6156566999852657,None,0,59,59,4,116.04072399996221,,,,,,,,,116.02637899998808,116.04072399996221,116.12401659996249,117.02385899994988,117.02385899994988,117.02385899994988,117.02385899994988,117.04058479995001,117.741058399959,0,h,0,1.6156566999852657,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
72,1,j,learn,2,60,60,0,f,0,1.3795504999579862,None,0,60,60,71,117.75660529994639,,,,,,,,,117.74273249995895,117.75660529994639,117.85687949997373,118.74011839996092,118.74011839996092,118.74011839996092,118.74011839996092,118.75667959998827,119.24102259997744,0,f,0,1.3795504999579862,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
33,3,f,learn,1,61,61,0,h,0,1.7403441999922507,None,0,61,61,32,119.2567573999986,,,,,,,,,119.24280839995481,119.2567573999986,119.35664239997277,120.25667649996467,120.25667649996467,120.25667649996467,120.25667649996467,120.25667649996467,121.10709389997646,0,h,0,1.7403441999922507,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
69,3,f,learn,2,62,62,0,h,0,1.4714090999914333,None,0,62,62,68,121.12295469996752,,,,,,,,,121.10885019996203,121.12295469996752,121.20657599996775,122.10626649996266,122.10626649996266,122.10626649996266,122.10626649996266,122.12294679996558,122.69051559997024,0,h,0,1.4714090999914333,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
25,1,f,learn,1,63,63,0,f,1,1.4741044999682344,None,0,63,63,24,122.70624869997846,,,,,,,,,122.69228249997832,122.70624869997846,122.78964619996259,123.70611519995145,123.70611519995145,123.70611519995145,123.70611519995145,123.70611519995145,124.27377299999353,1,f,1,1.4741044999682344,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
7,4,h,learn,1,64,64,0,j,0,1.377752500004135,None,0,64,64,6,124.28944989998126,,,,,,,,,124.27564609999536,124.28944989998126,124.38933739997447,125.28895889996784,125.28895889996784,125.28895889996784,125.28895889996784,125.28895889996784,125.77333259995794,0,j,0,1.377752500004135,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
34,4,g,learn,1,65,65,0,j,0,1.3830944999936037,None,0,65,65,33,125.78915629995754,,,,,,,,,125.77510519995121,125.78915629995754,125.88883169996552,126.78909019997809,126.78909019997809,126.78909019997809,126.78909019997809,126.78909019997809,127.27293959999224,0,j,0,1.3830944999936037,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
79,1,h,learn,2,66,66,0,f,0,1.3318592999712564,None,0,66,66,78,127.28890089999186,,,,,,,,,127.27467329998035,127.28890089999186,127.37225580000086,128.28876509994734,128.28876509994734,128.28876509994734,128.28876509994734,128.28876509994734,128.7057089000009,0,f,0,1.3318592999712564,None,,,,,participant3,001,2025-11-18_21h52.37.768,Solo Project,,2025.1.1,60.0207311576905,2025-11-18 21h53.26.494375 +0530,
